name,country,city,public
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,Nürnberg,yes
Istanbul Technical University,Turkey,Istanbul,yes
University of Surrey,United Kingdom,Surrey,yes
Université Grenoble Alpes,France,Grenoble,yes
University of Leicester,United Kingdom,Leicester,yes
Heriot-Watt University,United Kingdom,Edinburgh,yes
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,Barcelona,yes
"City, University of London",United Kingdom,London,yes
University of Southern Denmark (SDU),Denmark,Odense,yes
Aalborg University,Denmark,Aalborg,yes
Ecole des Ponts ParisTech,France,Paris,yes
Universidade Nova de Lisboa,Portugal,Lisboa,yes
Technical University of Darmstadt,Germany,Darmstadt,yes
University of Turku,Finland,Turku,yes
Universitat de Valencia,Spain,Valencia,yes
University of Pisa,Italy,Pisa,yes
University of Coimbra,Portugal,Coimbra,yes
University of Turin,Italy,Turin,yes
Università Cattolica del Sacro Cuore,Italy,Milan,
University of Tartu,Estonia,Tartu,yes
École Normale Supérieure de Lyon,France,Lyon,yes
Masaryk University,Czech Republic,Brno,yes
Universität Innsbruck,Austria,Innsbruck,yes
University of Limerick,Ireland,Limerick,yes
Universidad de Sevilla,Spain,Sevilla,yes
University of Florence,Italy,Florence,yes
National and Kapodistrian University of Athens,Greece,Athens,yes
University of East Anglia (UEA),United Kingdom,Norwich,yes
Universität Stuttgart,Germany,Stuttgart,yes
University of Naples - Federico II,Italy,Naples,yes
 University of Dundee,United Kingdom,Dundee,yes
Dublin City University,Ireland,Dublin,yes
Oxford Brookes University,United Kingdom,Oxford,yes
Université Paris Cité,France,Paris,yes
Brunel University London,United Kingdom,London,yes
Tilburg University,Netherlands,Tilburg,yes
University of Oulu,Finland,Oulu,yes
Koç University,Turkey,Istanbul,
University of Granada,Spain,Granada,yes
Aston University,United Kingdom,Birmingham,yes
Sciences Po ,France,Paris,yes
Université de Strasbourg,France,Strasbourg,yes
Aix-Marseille University,France,Marseille,yes
Boğaziçi University,Turkey,Istanbul,yes
Université de Liège,Belgium,Liège,yes
Aristotle University of Thessaloniki,Greece,Thessaloniki,yes
"University of Rome ""Tor Vergata""",Italy,Rome,yes
IE University,Spain,Madrid,
Johannes Gutenberg Universität Mainz,Germany,Mainz,yes
University of Kent,United Kingdom,Kent,yes
Leibniz University Hannover,Germany,Hannover,yes
Universitat Ramon Llull,Spain,Barcelona,
Tampere University,Finland,Tampere,yes
Universitat Politècnica de València,Spain,Valencia,yes
Universität Konstanz,Germany,Konstanz,yes
Czech Technical University in Prague,Czech Republic,Prague,yes
Ruhr-Universität Bochum,Germany,Bochum,yes
Vilnius University ,Lithuania,Vilnius,yes
National Technical University of Athens,Greece,Athens,yes
University of Luxembourg,Luxembourg,Luxembourg,yes
University of Bordeaux,France,Bordeaux,yes
University of Salamanca,Spain,Salamanca,yes
Bilkent University,Turkey,Ankara,
Umea University,Sweden,Umea,yes
Universität Mannheim,Germany,Mannheim,yes
University of Trento,Italy,Trento,yes
Sabanci University,Turkey,Istanbul,
Nottingham Trent University,United Kingdom,Nottingham,yes
Coventry University,United Kingdom,Coventry,yes
Eötvös Loránd University,Hungary,Budapest,yes
University of the Basque Country,Spain,Basque Country,yes
Universität Potsdam,Germany,Potsdam,yes
Manchester Metropolitan University (MMU),United Kingdom,Manchester,yes
University of Stirling,United Kingdom,Stirling,yes
"Essex, University of",United Kingdom,Essex,yes
Università degli Studi di Pavia,Italy,Pavia,yes
Hacettepe University ,Turkey,Ankara,yes
Université de Montpellier,France,Montpellier,yes
Universität Leipzig,Germany,Leipzig,yes
Lappeenranta-Lahti University of Technology LUT,Finland,Lappeenranta,yes
University of Bradford,United Kingdom,Bradford,yes
University of Bayreuth,Germany,Bayreuth,yes
Christian-Albrechts-University zu Kiel,Germany,Kiel,yes
Ca' Foscari University of Venice ,Italy,Venice,yes
University of Jyväskylä,Finland,Jyväskylä,yes
University of Milano-Bicocca ,Italy,Milan,yes
Warsaw University of Technology,Poland,Warsaw,yes
Johannes Kepler University Linz,Austria,Linz,yes
